,BEAM
2020-02-06,18.75
2020-02-07,20.6200008392334
2020-02-10,22.100000381469727
2020-02-11,24.100000381469727
2020-02-12,27.600000381469727
2020-02-13,29.200000762939453
2020-02-14,27.899999618530273
2020-02-18,27.799999237060547
2020-02-19,28.18000030517578
2020-02-20,26.90999984741211
2020-02-21,26.09000015258789
2020-02-24,24.200000762939453
2020-02-25,22.6299991607666
2020-02-26,24.450000762939453
2020-02-27,22.93000030517578
2020-02-28,22.489999771118164
2020-03-02,23.020000457763672
2020-03-03,23.510000228881836
2020-03-04,24.40999984741211
2020-03-05,23.809999465942383
2020-03-06,23.549999237060547
2020-03-09,22.600000381469727
2020-03-10,22.5
2020-03-11,21.25
2020-03-12,18.299999237060547
2020-03-13,17.3799991607666
2020-03-16,13.3100004196167
2020-03-17,15.010000228881836
2020-03-18,15.210000038146973
2020-03-19,16.860000610351562
2020-03-20,19.399999618530273
2020-03-23,18.010000228881836
2020-03-24,19.15999984741211
2020-03-25,19.600000381469727
2020-03-26,19.0
2020-03-27,18.049999237060547
2020-03-30,18.0
2020-03-31,18.0
2020-04-01,16.1200008392334
2020-04-02,15.260000228881836
2020-04-03,16.110000610351562
2020-04-06,16.649999618530273
2020-04-07,15.8100004196167
2020-04-08,16.700000762939453
2020-04-09,16.6200008392334
2020-04-13,16.100000381469727
2020-04-14,17.06999969482422
2020-04-15,15.899999618530273
2020-04-16,16.170000076293945
2020-04-17,15.979999542236328
2020-04-20,16.559999465942383
2020-04-21,16.100000381469727
2020-04-22,16.65999984741211
2020-04-23,17.739999771118164
2020-04-24,18.149999618530273
2020-04-27,16.530000686645508
2020-04-28,16.299999237060547
2020-04-29,16.889999389648438
2020-04-30,15.949999809265137
2020-05-01,15.380000114440918
2020-05-04,15.760000228881836
2020-05-05,16.489999771118164
2020-05-06,16.079999923706055
2020-05-07,16.84000015258789
2020-05-08,16.889999389648438
2020-05-11,20.709999084472656
2020-05-12,19.950000762939453
2020-05-13,21.399999618530273
2020-05-14,19.510000228881836
2020-05-15,21.40999984741211
2020-05-18,21.489999771118164
2020-05-19,23.510000228881836
2020-05-20,25.579999923706055
2020-05-21,26.549999237060547
2020-05-22,25.6200008392334
2020-05-26,24.31999969482422
2020-05-27,24.59000015258789
2020-05-28,25.020000457763672
2020-05-29,25.549999237060547
2020-06-01,26.18000030517578
2020-06-02,28.049999237060547
2020-06-03,28.1299991607666
2020-06-04,27.280000686645508
2020-06-05,25.729999542236328
2020-06-08,27.760000228881836
2020-06-09,27.780000686645508
2020-06-10,26.739999771118164
2020-06-11,25.5
2020-06-12,24.940000534057617
2020-06-15,26.850000381469727
2020-06-16,27.0
2020-06-17,25.649999618530273
2020-06-18,26.600000381469727
2020-06-19,27.299999237060547
2020-06-22,28.65999984741211
2020-06-23,26.360000610351562
2020-06-24,26.209999084472656
2020-06-25,26.510000228881836
2020-06-26,24.950000762939453
2020-06-29,27.459999084472656
2020-06-30,28.0
2020-07-01,28.510000228881836
2020-07-02,28.8700008392334
2020-07-06,29.420000076293945
2020-07-07,28.610000610351562
2020-07-08,29.010000228881836
2020-07-09,30.56999969482422
2020-07-10,26.729999542236328
2020-07-13,25.030000686645508
2020-07-14,25.09000015258789
2020-07-15,24.420000076293945
2020-07-16,23.739999771118164
2020-07-17,23.65999984741211
2020-07-20,23.200000762939453
2020-07-21,22.40999984741211
2020-07-22,22.520000457763672
2020-07-23,21.90999984741211
2020-07-24,21.15999984741211
2020-07-27,21.510000228881836
2020-07-28,20.81999969482422
2020-07-29,20.559999465942383
2020-07-30,20.3700008392334
2020-07-31,19.34000015258789
2020-08-03,19.0049991607666
2020-08-04,19.40999984741211
2020-08-05,21.280000686645508
2020-08-06,24.520000457763672
2020-08-07,23.469999313354492
2020-08-10,24.100000381469727
2020-08-11,23.6200008392334
2020-08-12,22.280000686645508
2020-08-13,22.420000076293945
2020-08-14,22.479999542236328
2020-08-17,22.799999237060547
2020-08-18,25.6299991607666
2020-08-19,25.15999984741211
2020-08-20,25.34000015258789
2020-08-21,26.030000686645508
2020-08-24,25.65999984741211
2020-08-25,25.84000015258789
2020-08-26,25.15999984741211
2020-08-27,24.6200008392334
2020-08-28,24.940000534057617
2020-08-31,25.110000610351562
2020-09-01,26.1200008392334
2020-09-02,26.200000762939453
2020-09-03,23.93000030517578
2020-09-04,21.829999923706055
2020-09-08,22.469999313354492
2020-09-09,25.15999984741211
2020-09-10,25.729999542236328
2020-09-11,25.649999618530273
2020-09-14,27.260000228881836
2020-09-15,27.8700008392334
2020-09-16,28.780000686645508
2020-09-17,28.389999389648438
2020-09-18,29.450000762939453
2020-09-21,29.56999969482422
2020-09-22,27.799999237060547
2020-09-23,26.09000015258789
2020-09-24,26.09000015258789
2020-09-25,26.760000228881836
2020-09-28,26.8799991607666
2020-09-29,24.719999313354492
2020-09-30,24.6200008392334
2020-10-01,24.440000534057617
2020-10-02,22.239999771118164
2020-10-05,23.850000381469727
2020-10-06,27.389999389648438
2020-10-07,28.670000076293945
2020-10-08,28.5
2020-10-09,29.40999984741211
2020-10-12,28.5
2020-10-13,28.889999389648438
2020-10-14,28.329999923706055
2020-10-15,32.91999816894531
2020-10-16,32.61000061035156
2020-10-19,31.8799991607666
2020-10-20,30.540000915527344
2020-10-21,29.690000534057617
2020-10-22,35.5099983215332
2020-10-23,37.88999938964844
2020-10-26,35.689998626708984
2020-10-27,38.279998779296875
2020-10-28,36.11000061035156
2020-10-29,36.310001373291016
2020-10-30,34.16999816894531
2020-11-02,34.650001525878906
2020-11-03,34.06999969482422
2020-11-04,35.209999084472656
2020-11-05,36.59000015258789
2020-11-06,36.130001068115234
2020-11-09,36.93000030517578
2020-11-10,37.68000030517578
2020-11-11,37.86000061035156
2020-11-12,34.34000015258789
2020-11-13,36.41999816894531
2020-11-16,36.880001068115234
2020-11-17,38.290000915527344
2020-11-18,37.81999969482422
2020-11-19,39.52000045776367
2020-11-20,41.630001068115234
2020-11-23,42.470001220703125
2020-11-24,41.560001373291016
2020-11-25,44.689998626708984
2020-11-27,47.65999984741211
2020-11-30,50.0
2020-12-01,54.86000061035156
2020-12-02,57.220001220703125
2020-12-03,58.47999954223633
2020-12-04,60.060001373291016
2020-12-07,67.68000030517578
2020-12-08,75.26000213623047
2020-12-09,72.83999633789062
2020-12-10,77.5
2020-12-11,78.3499984741211
2020-12-14,83.91000366210938
2020-12-15,77.69999694824219
2020-12-16,72.1500015258789
2020-12-17,72.0999984741211
2020-12-18,72.3499984741211
2020-12-21,89.13999938964844
2020-12-22,88.5199966430664
2020-12-23,90.6500015258789
2020-12-24,87.83999633789062
2020-12-28,95.62999725341797
2020-12-29,88.66999816894531
2020-12-30,82.5199966430664
2020-12-31,81.63999938964844
2021-01-04,83.13999938964844
2021-01-05,84.06999969482422
2021-01-06,85.0
2021-01-07,98.62999725341797
2021-01-08,101.66999816894531
2021-01-11,94.08000183105469
2021-01-12,97.05999755859375
2021-01-13,97.94000244140625
2021-01-14,111.31999969482422
2021-01-15,113.04000091552734
2021-01-19,108.88999938964844
2021-01-20,102.2699966430664
2021-01-21,92.62999725341797
2021-01-22,99.51000213623047
2021-01-25,102.5
2021-01-26,89.7699966430664
2021-01-27,92.01000213623047
2021-01-28,99.88999938964844
2021-01-29,96.43000030517578
2021-02-01,98.3499984741211
2021-02-02,99.0
2021-02-03,99.5
2021-02-04,104.31999969482422
2021-02-05,116.16000366210938
2021-02-08,120.75
2021-02-09,115.4000015258789
2021-02-10,108.55999755859375
2021-02-11,104.66000366210938
2021-02-12,105.0
2021-02-16,105.25
2021-02-17,106.44999694824219
2021-02-18,103.30000305175781
2021-02-19,106.91000366210938
2021-02-22,110.41000366210938
2021-02-23,96.4800033569336
2021-02-24,97.02999877929688
2021-02-25,88.5199966430664
2021-02-26,89.12999725341797
2021-03-01,95.58000183105469
2021-03-02,92.30000305175781
2021-03-03,83.76000213623047
2021-03-04,73.48999786376953
2021-03-05,72.5999984741211
2021-03-08,71.27999877929688
2021-03-09,84.0199966430664
2021-03-10,84.31999969482422
2021-03-11,94.66000366210938
2021-03-12,98.41999816894531
2021-03-15,94.81999969482422
2021-03-16,94.12999725341797
2021-03-17,97.80000305175781
2021-03-18,88.86000061035156
2021-03-19,92.88999938964844
2021-03-22,94.76000213623047
2021-03-23,88.37000274658203
2021-03-24,80.8499984741211
2021-03-25,83.33999633789062
2021-03-26,81.33000183105469
2021-03-29,74.58999633789062
2021-03-30,75.76000213623047
2021-03-31,80.04000091552734
2021-04-01,79.73999786376953
2021-04-05,80.5999984741211
2021-04-06,76.83999633789062
2021-04-07,74.37000274658203
2021-04-08,74.81999969482422
2021-04-09,70.2300033569336
2021-04-12,68.81999969482422
2021-04-13,74.80000305175781
2021-04-14,76.44999694824219
2021-04-15,73.77999877929688
2021-04-16,72.69000244140625
2021-04-19,70.88999938964844
2021-04-20,71.05999755859375
2021-04-21,74.20999908447266
2021-04-22,74.51000213623047
2021-04-23,76.7699966430664
2021-04-26,81.86000061035156
2021-04-27,81.55999755859375
2021-04-28,81.94999694824219
2021-04-29,78.0999984741211
2021-04-30,82.0
2021-05-03,75.19000244140625
2021-05-04,72.75
2021-05-05,73.0999984741211
2021-05-06,70.11000061035156
2021-05-07,70.81999969482422
2021-05-10,64.12000274658203
2021-05-11,66.19999694824219
2021-05-12,66.87999725341797
2021-05-13,66.13999938964844
2021-05-14,71.91999816894531
